GeneID	SRR1957124.tab.exon	SRR1957124.tab.intron	SRR1957125.tab.exon	SRR1957125.tab.intron	SRR1957183.tab.exon	SRR1957183.tab.intron	SRR1957186.tab.exon	SRR1957186.tab.intron	SRR1957188.tab.exon	SRR1957188.tab.intron	SRR1957191.tab.exon	SRR1957191.tab.intron	SRR1957192.tab.exon	SRR1957192.tab.intron	SRR1957193.tab.exon	SRR1957193.tab.intron	SRR1957195.tab.exon	SRR1957195.tab.intron	SRR1957197.tab.exon	SRR1957197.tab.intron	SRR1957198.tab.exon	SRR1957198.tab.intron	SRR1957200.tab.exon	SRR1957200.tab.intron	SRR1957201.tab.exon	SRR1957201.tab.intron	SRR1957202.tab.exon	SRR1957202.tab.intron	SRR1957203.tab.exon	SRR1957203.tab.intron	SRR1957205.tab.exon	SRR1957205.tab.intron	SRR1957206.tab.exon	SRR1957206.tab.intron	SRR1957207.tab.exon	SRR1957207.tab.intron	SRR1957208.tab.exon	SRR1957208.tab.intron	SRR1957209.tab.exon	SRR1957209.tab.intron
ENSG00000155660.6	13	1	10	1	7	0	6	3	43	0	6	0	14	0	57	2	12	0	17	1	27	0	19	1	1	0	43	4	23	3	28	6	10	2	43	5	28	2	13	2
ENSG00000155666.7	0	0	0	2	0	3	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0
ENSG00000155714.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155719.12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155729.8	2	0	4	2	3	3	2	0	0	0	1	0	4	1	1	0	1	2	2	1	4	0	3	0	1	0	2	0	0	0	0	2	1	0	1	1	1	0	1	1
ENSG00000155744.5	1	10	1	14	1	13	0	8	0	0	0	0	2	3	0	2	0	7	1	2	0	6	0	0	1	2	0	8	0	6	2	12	3	24	2	9	0	9	0	6
ENSG00000155749.8	0	2	0	4	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	2	0	2	0	0
ENSG00000155754.10	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	2	1	1	0	1	0
ENSG00000155755.14	1	0	2	2	9	0	4	0	0	0	1	1	6	0	0	0	0	1	1	0	2	3	0	1	3	0	0	0	0	0	0	3	2	2	1	1	2	1	5	0
ENSG00000155761.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	6	5	12	0	0
ENSG00000155792.5	6	68	1	4	8	5	3	3	1	2	0	1	7	16	3	5	2	1	1	2	3	15	32	90	18	42	5	15	3	11	5	19	1	4	20	94	7	18	8	36
ENSG00000155816.15	0	6	11	50	7	61	10	47	0	0	0	0	0	2	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3
ENSG00000155827.7	2	1	12	4	4	1	3	0	0	1	3	0	1	1	3	0	0	1	8	0	9	1	2	2	9	0	6	2	8	1	4	1	8	2	13	2	6	1	4	1
ENSG00000155833.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155846.12	0	9	4	13	7	15	0	1	1	0	10	14	4	7	0	8	2	2	3	1	2	3	1	3	8	7	9	23	4	8	8	14	0	3	0	0	2	7	2	10
ENSG00000155849.11	3	30	11	70	14	92	14	65	2	2	6	18	1	14	3	44	10	141	13	184	2	42	0	19	1	12	4	80	16	222	9	98	4	162	22	414	5	84	4	56
ENSG00000155850.7	66	4	8	1	2	0	1	0	0	0	5	0	4	0	1	0	5	1	15	3	14	0	7	1	4	0	4	0	4	1	3	0	3	1	2	0	22	4	2	0
ENSG00000155858.5	1	0	4	1	6	1	20	5	4	0	0	0	1	0	0	0	0	1	1	1	2	1	1	0	0	0	1	1	3	0	3	0	0	0	2	0	0	0	3	1
ENSG00000155868.7	1	0	1	0	1	0	1	0	2	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	2	0
ENSG00000155875.9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
